ID,Gender,DevTyp,WBC,LYMp,MONp,NEUp,EOSp,BASOp,LYMn,MONn,NEUn,EOSn,BASOn,RBC,HGB,HCT,MCV,MCH,MCHC,RDWSD,RDWCV,PLT,MPV,PDW,PCT,PLCR,PLCC
24,0.0,1.0,10.96,5.46,7.2,87.0,0.24,0.1,0.598,0.789,9.535,0.026,0.011,2.73,7.0,24.4,89.2,25.6,29.0,49.5,13.0,289.0,7.6,5.4,0.22,20.23,58.0
25,1.0,1.0,3.08,20.94,5.49,73.01,0.5,0.06,0.645,0.169,2.249,0.015,0.002,2.79,7.8,26.2,93.8,28.0,30.0,50.6,14.1,223.0,8.9,4.3,0.2,23.89,53.0
26,0.0,2.0,5.91,38.77,10.3,50.07,0.7,0.16,2.29,0.61,2.96,0.04,0.01,4.93,14.47,45.7,92.7,29.4,31.7,54.1,14.6,236.8,10.0,20.1,0.24,50.0,88.44683278804692
27,0.0,1.0,7.67,23.21,5.72,62.28,8.59,0.2,1.78,0.439,4.777,0.659,0.015,5.01,11.8,39.4,78.7,23.6,30.0,41.4,14.1,345.0,7.1,5.8,0.24,16.48,57.0
28,1.0,1.0,8.2,42.78,23.86,32.0,0.97,0.39,3.508,1.957,2.624,0.08,0.032,2.99,7.5,21.1,70.6,25.0,35.0,48.3,15.2,40.0,10.7,10.1,0.04,58.17,23.0
29,1.0,2.0,9.56,32.26,7.9,53.2,6.17,0.47,3.08,0.76,5.09,0.59,0.04,5.24,10.76,37.6,71.8,20.5,28.6,50.5,17.6,476.8,8.9,18.9,0.42,39.4,141.0437182634239
30,0.0,2.0,6.27,35.96,9.19,52.53,1.73,0.59,2.25,0.58,3.29,0.11,0.04,3.19,9.63,31.7,99.4,30.2,30.4,60.4,15.2,260.0,9.6,18.5,0.25,47.8,97.12671979530742
31,1.0,2.0,9.66,8.76,8.09,81.5,1.23,0.42,0.85,0.78,7.87,0.12,0.04,2.14,4.22,15.3,71.5,19.7,27.6,79.8,27.9,144.0,8.7,17.6,0.13,41.1,58.09969805422801
32,1.0,1.0,8.06,38.76,7.04,52.87,0.86,0.47,3.124,0.567,4.261,0.069,0.038,4.33,12.0,32.3,74.7,27.7,37.0,414.0,12.0,206.0,8.9,8.6,0.18,24.5,50.0
33,1.0,1.0,6.64,34.56,5.96,58.33,0.76,0.39,2.295,0.396,3.873,0.05,0.026,4.28,14.1,37.7,88.0,33.0,37.0,51.8,12.7,292.0,7.3,5.4,0.21,9.68,28.0
34,1.0,2.0,5.28,38.38,10.42,47.13,3.56,0.51,2.03,0.55,2.48,0.19,0.03,6.22,11.7,41.7,67.0,18.8,28.1,38.3,14.3,169.0,11.1,20.0,0.19,57.1,88.22237593701234
35,0.0,1.0,10.26,28.01,8.41,60.81,2.44,0.33,2.874,0.863,6.239,0.25,0.034,4.01,11.5,31.6,78.8,28.7,36.0,49.5,13.6,388.0,7.4,6.1,0.29,12.65,49.0
36,0.0,1.0,6.07,29.42,3.62,65.52,1.14,0.3,1.786,0.22,3.977,0.069,0.018,4.13,7.3,23.05,55.8,17.7,32.0,41.4,16.8,246.0,7.3,6.5,0.18,45.4,112.0
37,1.0,1.0,6.14,28.69,5.6,64.39,0.9,0.42,1.762,0.344,3.954,0.055,0.026,4.42,12.9,25.0,94.4,29.2,31.0,48.3,13.4,118.0,6.8,4.3,0.08,13.4,16.0
38,0.0,2.0,15.4,10.83,3.17,85.44,0.05,0.08,1.67,0.49,13.15,0.01,0.08,3.59,10.69,32.8,91.4,29.8,32.6,44.6,12.2,260.0,8.5,17.8,0.22,36.3,67.04470715907354
39,0.0,2.0,9.7,44.67,7.69,42.5,4.82,0.32,4.33,0.75,4.12,0.47,0.03,5.83,12.54,42.5,72.9,21.5,29.5,55.7,19.1,494.4,9.1,17.4,0.45,44.7,154.64495434259214
40,0.0,2.0,10.39,36.01,4.06,59.12,0.54,0.27,3.74,0.42,6.14,0.06,0.03,4.46,9.31,33.6,75.3,20.9,27.7,47.3,15.7,463.8,8.9,17.9,0.41,39.0,139.8019452075562
41,0.0,1.0,6.25,33.29,9717.0,50.74,8.36,0.44,2.081,0.448,3.171,0.522,27.0,4.38,11.8,36.7,83.7,26.9,32.0,38.0,11.3,202.0,7.2,5.8,0.15,12.63,26.0
42,0.0,1.0,10.22,39.06,3.99,55.08,1.39,0.4,3.992,0.408,5.629,0.142,0.049,4.78,14.6,45.0,94.1,30.6,32.0,44.8,12.3,312.0,7.6,6.1,0.24,11.46,36.0
43,0.0,2.0,7.18,35.01,5.19,57.4,1.8,0.6,2.51,0.37,4.13,0.13,0.04,4.94,9.73,34.8,70.4,19.7,28.0,47.6,16.9,416.7,9.5,18.0,0.4,46.5,139.94847632071378
44,0.0,1.0,7.44,35.89,5.47,56.86,1.33,0.45,2.67,0.46,4.23,0.099,0.033,4.33,9.2,32.3,74.6,21.3,29.0,43.7,14.9,290.0,8.4,6.5,0.24,33.53,97.0
45,1.0,2.0,3.33,6.73,13.76,76.73,1.0,1.78,0.22,0.46,2.56,0.03,0.06,2.81,6.57,22.4,79.7,23.4,29.3,92.8,29.1,65.0,9.6,16.6,0.06,56.4,61.33986348585572
46,0.0,1.0,9.71,30.87,3.46,64.63,0.8,0.24,3.007,0.337,6.295,0.078,0.023,4.93,11.2,30.0,77.1,22.7,29.0,36.8,30.0,275.0,7.0,5.8,0.19,17.9,49.0
47,0.0,2.0,99.0,50.0,27.0,16.0,1.0,4.0,50.99,27.63,16.91,0.16,4.31,3.97,10.78,27.8,70.0,27.2,38.8,85.7,30.6,147.6,8.6,19.5,0.13,43.4,39.08015688471237
48,1.0,1.0,9.72,40.9,6.33,49.44,2.89,0.24,3.975,0.615,4.806,0.281,0.043,5.14,14.0,44.9,87.5,27.2,31.0,42.5,13.3,107.0,7.6,4.7,0.08,20.17,22.0
49,1.0,2.0,0.69,50.53,14.71,31.33,0.34,3.09,0.35,0.1,0.22,0.0,0.02,4.05,9.65,32.7,80.7,23.8,29.5,46.5,14.4,175.5,9.3,18.0,0.16,45.0,70.3755561857212
50,1.0,1.0,10.39,12.3,3.68,84.32,0.6,0.1,1.278,0.278,8.761,0.062,0.01,5.01,14.7,46.5,92.9,29.4,32.0,44.8,12.5,19.0,8.2,4.7,0.02,32.08,6.0
51,1.0,2.0,5.76,87.03,9.55,1.34,1.57,0.51,5.01,0.55,0.08,0.09,0.03,5.28,10.56,38.0,72.0,20.0,27.8,55.0,19.1,301.8,8.5,17.5,0.26,37.7,97.65412344494013
52,0.0,1.0,10.31,21.73,4.26,73.04,0.73,0.42,2.24,0.439,7.53,0.075,0.075,0.025,5.11,32.03144283099431,60.9,17.0,28.0,39.1,16.5,129.0,7.6,5.8,0.09,51.09,66.0
53,0.0,2.0,9.77,26.94,5.15,65.06,2.32,0.53,2.63,0.5,6.36,0.23,0.53,3.91,10.03,35.0,89.5,25.7,28.7,56.9,15.9,354.4,7.6,16.7,0.27,28.1,89.28550350864631
54,0.0,1.0,5.11,50.34,3.77,43.33,1.97,0.59,2.572,0.193,2.214,0.101,0.05,5.35,13.2,42.1,78.7,24.7,31.0,36.8,11.4,209.0,8.4,7.2,0.1,30.51,64.0
55,0.0,2.0,10.1,26.19,8.69,54.77,3.86,6.49,2.65,0.88,5.52,0.39,0.66,4.84,7.62,28.7,59.3,15.7,26.6,43.4,18.3,329.5,9.4,19.5,0.31,46.2,115.18185508441596
56,0.0,1.0,11.9,26.33,3.87,68.66,0.83,0.31,2.946,0.433,7.683,0.093,0.035,3.76,9.3,27.3,72.7,24.8,34.0,42.5,12.9,428.0,7.3,5.4,0.31,15.65,67.0
57,0.0,2.0,7.56,25.59,13.18,52.02,0.73,8.48,1.93,1.0,3.93,0.06,0.64,1.78,5.18,17.8,100.0,29.1,18.4,73.6,18.4,92.5,8.4,19.2,0.08,35.8,48.68776926682113
